timestamp,day,time,download_mbps,upload_mbps,packet_loss,isp,server_host,server_location,result_url
2023-04-10T21:37:06.000Z,Monday,17:37:06,181.13,148.24,0,Verizon Fios,speedgauge2.optonline.net,New York NY,https://www.speedtest.net/result/c/7938a279-23c1-4340-a2ea-912af97cf53a
2023-04-10T21:41:58.000Z,Monday,17:41:58,285.83,180.17,0,Verizon Fios,ny2.speedtest.gslnetworks.com,New York NY,https://www.speedtest.net/result/c/381b1915-0c5c-46ee-a424-0f41096a246a
2023-04-10T21:47:00.000Z,Monday,17:47:00,255.8,193.59,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/e590d2c8-66bb-4ffb-82d9-81cf3b14f8f1
2023-04-10T21:51:57.000Z,Monday,17:51:57,184.96,171.66,0,Verizon Fios,speedtest.nyc.rr.com,New York NY,https://www.speedtest.net/result/c/1148047a-ea91-4136-b96d-f244a5cb3274
2023-04-10T21:56:59.000Z,Monday,17:56:59,200.6,173.29,0,Verizon Fios,speedtest.naturalwireless.com,New York NY,https://www.speedtest.net/result/c/330be46b-8f6e-4ab9-8174-994cb694184b
2023-04-10T22:02:06.000Z,Monday,18:02:06,209.08,190.84,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/a1ad0973-ca6a-461e-881e-6c4c9a53ed02
2023-04-10T22:07:03.000Z,Monday,18:07:03,255.99,182,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/26df603f-b121-4b9b-9c07-b3e6ae38b8ea
2023-04-10T22:12:03.000Z,Monday,18:12:03,228.26,175.01,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/a368285d-9497-4b2a-87e6-2573befaa032
2023-04-10T22:16:58.000Z,Monday,18:16:58,195.58,221.56,0,Verizon Fios,speedtest.surfshark.com,New York NY,https://www.speedtest.net/result/c/a2cefaaa-5da8-40ff-b1c8-b143fedbba1d
2023-04-10T22:22:04.000Z,Monday,18:22:04,180.36,188.04,0,Verizon Fios,speedtest.nyc.rr.com,New York NY,https://www.speedtest.net/result/c/abd39bd8-5f30-493e-93ee-12c24ccfe730
2023-04-10T22:27:04.000Z,Monday,18:27:04,209.41,196.22,0,Verizon Fios,speedtest.naturalwireless.com,New York NY,https://www.speedtest.net/result/c/41178830-acdd-4f3a-b587-783e0371f2db
2023-04-10T22:32:00.000Z,Monday,18:32:00,247.21,183.69,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/89b786e5-9b60-4209-9cf1-1f509ce9d574
2023-04-10T22:37:02.000Z,Monday,18:37:02,195.46,188.29,0,Verizon Fios,speedtest.naturalwireless.com,New York NY,https://www.speedtest.net/result/c/7d51d1ef-4a89-48a0-a435-e4fe96451d6f
2023-04-10T22:42:07.000Z,Monday,18:42:07,200.72,175.88,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/56734392-4bf9-404b-a5f1-aaa28ef7f793
2023-04-10T22:47:01.000Z,Monday,18:47:01,186.48,196.64,0,Verizon Fios,speedgauge2.optonline.net,New York NY,https://www.speedtest.net/result/c/37e280ec-38ea-4aa4-8f42-c23e35f2e86c
2023-04-10T22:52:12.000Z,Monday,18:52:12,196.5,203.07,0,Verizon Fios,speedgauge2.optonline.net,New York NY,https://www.speedtest.net/result/c/0fd67912-b6ae-4aae-9206-4bbeaadc8a70
2023-04-10T22:57:03.000Z,Monday,18:57:03,177.82,199.81,0,Verizon Fios,speedtest.pilotfiber.com,New York NY,https://www.speedtest.net/result/c/c6b12922-9e2d-4156-b15d-6f0f5c48af55
2023-04-10T23:01:52.000Z,Monday,19:01:52,282.13,177.38,0,Verizon Fios,ny2.speedtest.gslnetworks.com,New York NY,https://www.speedtest.net/result/c/5a5235b4-c382-4c4d-8ff8-b819f6e7334c
